anime_id,name,type,episodes,rating,token
28701,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,8.45,fate/stay night: unlimit blade work 2nd season action fantasi magic shounen supernatur tv
5420,Kemono no Souja Erin,TV,50,8.45,kemono no souja erin drama fantasi tv
9260,Kizumonogatari I: Tekketsu-hen,Movie,1,8.45,kizumonogatari i: tekketsu-hen mysteri supernatur vampir movi
32,Neon Genesis Evangelion: The End of Evangelion,Movie,1,8.45,neon genesi evangelion: the end of evangelion dementia drama mecha psycholog sci-fi movi
4224,Toradora!,TV,25,8.45,toradora! comedi romanc school slice of life tv
2236,Toki wo Kakeru Shoujo,Movie,1,8.44,toki wo kakeru shoujo adventur drama romanc sci-fi movi
2685,Tsubasa: Tokyo Revelations,OVA,3,8.44,tsubasa: tokyo revel action adventur drama fantasi romanc shounen ova
31181,Owarimonogatari,TV,12,8.43,owarimonogatari comedi mysteri supernatur tv
45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,8.43,rurouni kenshin: meiji kenkaku romantan action adventur comedi histor romanc samurai tv
2418,Stranger: Mukou Hadan,Movie,1,8.43,stranger: mukou hadan action adventur histor samurai movi
1365,Detective Conan Movie 06: The Phantom of Baker Street,Movie,1,8.42,detect conan movi 06: the phantom of baker street adventur mysteri polic shounen movi
22297,Fate/stay night: Unlimited Blade Works,TV,12,8.42,fate/stay night: unlimit blade work action fantasi magic shounen supernatur tv
627,Major S1,TV,26,8.42,major s1 comedi drama shounen sport tv
10937,Mobile Suit Gundam: The Origin,OVA,6,8.42,mobil suit gundam: the origin action mecha militari sci-fi shounen space ova
23755,Nanatsu no Taizai,TV,24,8.42,nanatsu no taizai action adventur ecchi fantasi shounen supernatur tv
4081,Natsume Yuujinchou,TV,13,8.42,natsum yuujinch drama fantasi shoujo slice of life supernatur tv
4155,One Piece Film: Strong World,Movie,1,8.42,one piec film: strong world action adventur comedi drama fantasi shounen movi
1889,Higurashi no Naku Koro ni Kai,TV,24,8.41,higurashi no naku koro ni kai mysteri psycholog supernatur thriller tv
137,Hunter x Hunter OVA,OVA,8,8.41,hunter x hunter ova action adventur shounen super power ova
139,Hunter x Hunter: Greed Island Final,OVA,14,8.41,hunter x hunter: greed island final action adventur shounen super power ova
23317,Kuroshitsuji: Book of Murder,OVA,2,8.41,kuroshitsuji: book of murder comedi demon fantasi histor mysteri shounen supernatur ova
558,Major S2,TV,26,8.41,major s2 comedi drama shounen sport tv
5040,One Outs,TV,25,8.41,one out psycholog seinen sport tv
57,Beck,TV,26,8.4,beck comedi drama music shounen slice of life tv
33,Berserk,TV,25,8.4,berserk action adventur demon drama fantasi horror militari romanc seinen supernatur tv
5,Cowboy Bebop: Tengoku no Tobira,Movie,1,8.4,cowboy bebop: tengoku no tobira action drama mysteri sci-fi space movi
1842,Major S3,TV,26,8.4,major s3 drama shounen sport tv
6336,Mobile Suit Gundam Unicorn,OVA,7,8.4,mobil suit gundam unicorn action drama mecha militari sci-fi space ova
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA,1,8.4,natsum yuujinchou: itsuka yuki no hi ni drama fantasi shoujo slice of life supernatur ova
1210,NHK ni Youkoso!,TV,24,8.4,nhk ni youkoso! comedi drama psycholog romanc tv
338,Rose of Versailles,TV,40,8.4,rose of versail adventur drama histor romanc shoujo tv
13759,Sakurasou no Pet na Kanojo,TV,24,8.4,sakuras no pet na kanojo comedi drama romanc school slice of life tv
6547,Angel Beats!,TV,13,8.39,angel beats! action comedi drama school supernatur tv
5081,Bakemonogatari,TV,15,8.39,bakemonogatari mysteri romanc supernatur vampir tv
32867,Bungou Stray Dogs 2nd Season,TV,12,8.39,bungou stray dog 2nd season mysteri seinen supernatur tv
264,Hajime no Ippo: Champion Road,Special,1,8.39,hajim no ippo: champion road comedi shounen sport special
12859,One Piece Film: Z,Movie,1,8.39,one piec film: z action adventur comedi drama fantasi shounen movi
853,Ouran Koukou Host Club,TV,26,8.39,ouran koukou host club comedi harem romanc school shoujo tv
5460,Detective Conan Movie 13: The Raven Chaser,Movie,1,8.38,detect conan movi 13: the raven chaser action mysteri polic shounen movi
6746,Durarara!!,TV,24,8.38,durarara!! action mysteri supernatur tv
5690,Nodame Cantabile Finale,TV,11,8.38,nodam cantabil final comedi josei music romanc tv
329,Planetes,TV,26,8.38,planet drama romanc sci-fi seinen space tv
34240,Shelter,Music,1,8.38,shelter music sci-fi music
513,Tenkuu no Shiro Laputa,Movie,1,8.38,tenkuu no shiro laputa adventur fantasi romanc sci-fi movi
6945,Gintama: Shiroyasha Koutan,Special,1,8.37,gintama: shiroyasha koutan action comedi histor parodi sci-fi special
1142,Hachimitsu to Clover II,TV,12,8.37,hachimitsu to clover ii drama josei romanc tv
6811,InuYasha: Kanketsu-hen,TV,26,8.37,inuyasha: kanketsu-hen action adventur comedi demon fantasi magic romanc shounen supernatur tv
16664,Kaguya-hime no Monogatari,Movie,1,8.37,kaguya-him no monogatari fantasi histor movi
1604,Katekyo Hitman Reborn!,TV,203,8.37,katekyo hitman reborn! action comedi shounen super power tv
22145,Kuroshitsuji: Book of Circus,TV,10,8.37,kuroshitsuji: book of circu comedi demon fantasi histor shounen supernatur tv
2966,Ookami to Koushinryou,TV,13,8.37,ookami to koushinry adventur fantasi histor romanc tv
31964,Boku no Hero Academia,TV,13,8.36,boku no hero academia action comedi school shounen super power tv
19363,Gin no Saji 2nd Season,TV,11,8.36,gin no saji 2nd season comedi school shounen slice of life tv
18195,Little Busters!: Refrain,TV,13,8.36,littl busters!: refrain comedi drama romanc school slice of life supernatur tv
9890,Major: Message,OVA,1,8.36,major: messag comedi drama sport ova
9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,OVA,13,8.36,saint seiya: the lost canva - meiou shinwa 2 action adventur martial art shounen super power supernatur ova
9863,SKET Dance,TV,77,8.36,sket danc comedi school shounen tv
7674,Bakuman.,TV,25,8.35,bakuman. comedi romanc shounen tv
11843,Danshi Koukousei no Nichijou,TV,12,8.35,danshi koukousei no nichij comedi school shounen slice of life tv
16782,Kotonoha no Niwa,Movie,1,8.35,kotonoha no niwa drama psycholog romanc slice of life movi
28675,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,Movie,1,8.35,kyoukai no kanata movie: i&#039;ll be here - mirai-hen fantasi slice of life supernatur movi
3226,Major S4,TV,26,8.35,major s4 comedi drama shounen sport tv
21557,Omoide no Marnie,Movie,1,8.35,omoid no marni drama mysteri psycholog movi
31715,Working!!!: Lord of the Takanashi,Special,1,8.34,working!!!: lord of the takanashi comedi romanc slice of life special
43,Ghost in the Shell,Movie,1,8.34,ghost in the shell action mecha polic psycholog sci-fi seinen movi
9617,K-On! Movie,Movie,1,8.34,k-on! movi comedi music slice of life movi
31051,Kuroko no Basket: Saikou no Present Desu,Special,1,8.34,kuroko no basket: saikou no present desu action school shounen sport special
10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,Movie,1,8.34,mahou shoujo lyric nanoha: the movi 2nd a&#039; action comedi drama magic super power movi
1033,Sennen Joyuu,Movie,1,8.34,sennen joyuu action adventur drama fantasi histor romanc movi
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,Special,1,8.34,steins;gate: kyoukaimenj no miss link - divid by zero sci-fi thriller special
3091,xxxHOLiC Kei,TV,13,8.34,xxxholic kei comedi drama mysteri psycholog supernatur tv
12115,Berserk: Ougon Jidai-hen III - Kourin,Movie,1,8.33,berserk: ougon jidai-hen iii - kourin action adventur demon drama fantasi horror militari seinen supernatur movi
28223,Death Parade,TV,12,8.33,death parad drama game mysteri psycholog thriller tv
121,Fullmetal Alchemist,TV,51,8.33,fullmet alchemist action adventur comedi drama fantasi magic militari shounen tv
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,TV,26,8.33,gyakkyou burai kaiji: ultim survivor game psycholog seinen thriller tv
138,Hunter x Hunter: Greed Island,OVA,8,8.33,hunter x hunter: greed island action adventur shounen super power ova
6675,Redline,Movie,1,8.33,redlin action car sci-fi sport movi
10800,Chihayafuru,TV,25,8.32,chihayafuru drama game josei slice of life sport tv
32005,Detective Conan Movie 20: The Darkest Nightmare,Movie,1,8.32,detect conan movi 20: the darkest nightmar action mysteri polic shounen movi
813,Dragon Ball Z,TV,291,8.32,dragon ball z action adventur comedi fantasi martial art shounen super power tv
27821,Fate/stay night: Unlimited Blade Works - Prologue,Special,1,8.32,fate/stay night: unlimit blade work - prologu action fantasi magic shounen supernatur special
28725,Kokoro ga Sakebitagatterunda.,Movie,1,8.32,kokoro ga sakebitagatterunda. drama romanc school movi
585,Mimi wo Sumaseba,Movie,1,8.32,mimi wo sumaseba adventur drama fantasi romanc slice of life movi
16067,Nagi no Asukara,TV,26,8.32,nagi no asukara drama fantasi romanc tv
30,Neon Genesis Evangelion,TV,26,8.32,neon genesi evangelion action dementia drama mecha psycholog sci-fi tv
31490,One Piece Film: Gold,Movie,1,8.32,one piec film: gold action adventur comedi drama fantasi shounen movi
759,Tokyo Godfathers,Movie,1,8.32,tokyo godfath comedi drama movi
6,Trigun,TV,26,8.32,trigun action comedi sci-fi tv
6864,xxxHOLiC Rou,OVA,2,8.32,xxxholic rou mysteri supernatur ova
9735,Gintama: Shinyaku Benizakura-hen,Special,1,8.31,gintama: shinyaku benizakura-hen action comedi histor parodi samurai sci-fi shounen special
11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Movie,1,8.31,mahou shoujo madoka★magica movi 1: hajimari no monogatari drama magic psycholog thriller movi
11123,Sekaiichi Hatsukoi 2,TV,12,8.31,sekaiichi hatsukoi 2 comedi drama romanc shounen ai tv
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,8.31,yahari ore no seishun love comedi wa machigatteiru. zoku comedi drama romanc school tv
33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,OVA,1,8.31,yahari ore no seishun love comedi wa machigatteiru. zoku ova comedi romanc school ova
962,Aria The Natural,TV,26,8.3,aria the natur fantasi sci-fi shounen slice of life tv
1519,Black Lagoon: The Second Barrage,TV,12,8.3,black lagoon: the second barrag action seinen tv
2167,Clannad,TV,23,8.3,clannad comedi drama romanc school slice of life supernatur tv
16706,Kami nomi zo Shiru Sekai: Megami-hen,TV,12,8.3,kami nomi zo shiru sekai: megami-hen comedi harem romanc shounen supernatur tv
5681,Summer Wars,Movie,1,8.3,summer war comedi sci-fi movi
3901,Baccano! Specials,Special,3,8.29,baccano! special action comedi histor mysteri seinen supernatur special
6467,Detective Conan Movie 14: The Lost Ship in the Sky,Movie,1,8.29,detect conan movi 14: the lost ship in the sky action mysteri polic shounen movi
10271,Gyakkyou Burai Kaiji: Hakairoku-hen,TV,26,8.29,gyakkyou burai kaiji: hakairoku-hen game psycholog seinen thriller tv
22507,Initial D Final Stage,TV,4,8.29,initi d final stage car seinen sport tv
3701,Kaiba,TV,12,8.29,kaiba adventur mysteri romanc sci-fi tv
19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,Special,1,8.29,one piece: episod of merri - mou hitori no nakama no monogatari action adventur comedi drama fantasi shounen super power special
33255,Saiki Kusuo no Ψ-nan (TV),TV,120,8.29,saiki kusuo no ψ-nan (tv) comedi school shounen supernatur tv
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Movie,1,8.28,cardcaptor sakura movi 2: fuuin sareta card comedi drama fantasi magic romanc shoujo movi
265,Hajime no Ippo: Mashiba vs. Kimura,OVA,1,8.28,hajim no ippo: mashiba vs. kimura comedi shounen sport ova
25681,Kamisama Hajimemashita◎,TV,12,8.28,kamisama hajimemashita◎ comedi demon fantasi romanc shoujo supernatur tv
4722,Skip Beat!,TV,25,8.28,skip beat! comedi drama romanc shoujo tv
24277,Yowamushi Pedal: Grande Road,TV,24,8.28,yowamushi pedal: grand road comedi drama shounen sport tv
239,Gankutsuou,TV,24,8.27,gankutsu drama mysteri sci-fi supernatur thriller tv
512,Majo no Takkyuubin,Movie,1,8.27,majo no takkyuubin adventur comedi drama fantasi magic romanc movi
4477,Nodame Cantabile: Paris-hen,TV,11,8.27,nodam cantabile: paris-hen comedi josei music romanc slice of life tv
15323,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,Special,1,8.27,one piece: episod of nami - koukaishi no namida to nakama no kizuna action adventur comedi drama fantasi shounen super power special
31174,Osomatsu-san,TV,25,8.27,osomatsu-san comedi parodi tv
23327,Space☆Dandy 2nd Season,TV,13,8.27,space☆dandi 2nd season comedi sci-fi space tv
5365,Tsumiki no Ie,Movie,1,8.27,tsumiki no ie drama movi
3702,Detroit Metal City,OVA,12,8.26,detroit metal citi comedi music ova
3167,Eve no Jikan,ONA,6,8.26,eve no jikan sci-fi slice of life ona
7465,Eve no Jikan (Movie),Movie,1,8.26,eve no jikan (movie) sci-fi slice of life movi
7054,Kaichou wa Maid-sama!,TV,26,8.26,kaichou wa maid-sama! comedi romanc school shoujo tv
1257,Saint Seiya: Meiou Hades Juuni Kyuu-hen,OVA,13,8.26,saint seiya: meiou hade juuni kyuu-hen adventur sci-fi shounen ova
23283,Zankyou no Terror,TV,11,8.26,zankyou no terror psycholog thriller tv
2025,Darker than Black: Kuro no Keiyakusha,TV,25,8.25,darker than black: kuro no keiyakusha action mysteri sci-fi super power tv
235,Detective Conan,TV,Unknown,8.25,detect conan adventur comedi mysteri polic shounen tv
1364,Detective Conan Movie 05: Countdown to Heaven,Movie,1,8.25,detect conan movi 05: countdown to heaven adventur comedi mysteri polic shounen movi
18689,Diamond no Ace,TV,75,8.25,diamond no ace comedi school shounen sport tv
22043,Fairy Tail (2014),TV,102,8.25,fairi tail (2014) action adventur comedi fantasi magic shounen tv
31988,Hibike! Euphonium 2,TV,13,8.25,hibike! euphonium 2 drama music school tv
20899,JoJo no Kimyou na Bouken: Stardust Crusaders,TV,24,8.25,jojo no kimyou na bouken: stardust crusad action adventur drama shounen supernatur tv
1453,Maison Ikkoku,TV,96,8.25,maison ikkoku comedi drama romanc slice of life tv
